Energy outputs   (0.096 MeV RMS for JP fit): 
       exp      error        BAB         JP       Diff 
    3.0770     0.1000  -138.2771  -138.2771     0.0000
    3.3090     0.1000  -137.8925  -137.8925    -0.0000
    3.4480     0.1000  -137.9498  -137.9498    -0.0000
    3.5890     0.1000  -137.8340  -137.8340    -0.0000
    4.3750     1.0060  -137.2935  -137.2935     0.0000
    5.2480     0.1000  -136.2135  -136.2136     0.0001
    5.6440     0.1000  -135.9077  -135.9077     0.0000
 -146.4880     0.1000  -146.5552  -146.5552    -0.0000
    0.1050     0.1000  -146.4562  -146.4562     0.0000
    1.1870     0.1000  -145.3542  -145.3542     0.0000
    1.3130     0.1000  -145.2079  -145.2079    -0.0000
    1.5810     0.1000  -145.0081  -145.0081     0.0000
    1.6130     0.1000  -144.8879  -144.8880     0.0001
    1.6370     0.1000  -144.9409  -144.9409    -0.0000
    1.7900     0.1000  -144.6920  -144.6921     0.0001
    1.9840     0.1000  -144.5695  -144.5695    -0.0000
    2.0340     0.1000  -144.5144  -144.5144    -0.0000
    2.2900     0.1000  -144.2990  -144.2990     0.0000
    2.4130     0.1000  -144.1205  -144.1205    -0.0000
    2.6600     0.1000  -143.8280  -143.8280     0.0000
    3.1100     0.1000  -143.4145  -143.4145    -0.0000
    3.4660     0.1000  -143.0368  -143.0368     0.0000
 -153.9470     0.1000  -153.9255  -153.9255    -0.0000
    1.5100     0.1000  -152.3742  -152.3742     0.0000
    2.2830     0.1000  -151.6221  -151.6222     0.0001
    2.5200     0.1000  -151.4315  -151.4315    -0.0000
    2.5270     0.1000  -151.4573  -151.4572    -0.0001
    2.6120     0.1000  -151.3591  -151.3591     0.0000
    2.7600     0.1000  -151.2446  -151.2446     0.0000
    2.8500     0.1000  -151.0293  -151.0293     0.0000
    3.0910     1.2042  -150.9128  -150.9129     0.0001
    3.6230     1.2042  -150.3642  -150.3643     0.0001
 -158.0340     0.1000  -158.0443  -158.0443    -0.0000
    0.3920     0.1000  -157.6290  -157.6290    -0.0000
    0.6810     0.1000  -157.2949  -157.2949     0.0000
    1.4080     0.1000  -156.6111  -156.6111     0.0000
    1.4340     0.1000  -156.5771  -156.5771    -0.0000
    1.5160     0.1000  -156.5051  -156.5050    -0.0001
    2.1850     0.1000  -155.8698  -155.8698     0.0000
    2.1850     0.1000  -155.8004  -155.8004    -0.0000
    2.1850     0.1000  -155.8911  -155.8911    -0.0000
    2.5350     0.1000  -155.4965  -155.4965     0.0000
    3.2810     0.1000  -154.7604  -154.7604     0.0000
    3.8880     0.1000  -154.0724  -154.0724    -0.0000
 -164.3000     0.1000  -164.2323  -164.2324     0.0001
    1.4310     0.1000  -162.7701  -162.7701     0.0000
    2.1870     0.1000  -162.0518  -162.0519     0.0001
    2.4980     0.1000  -161.7524  -161.7524    -0.0000
    2.5030     0.1000  -161.7629  -161.7629    -0.0000
    2.6240     0.1000  -161.6498  -161.6497    -0.0001
    2.6440     0.1000  -161.6644  -161.6643    -0.0001
    2.9950     0.1000  -161.1674  -161.1674    -0.0000
    3.6580     0.1000  -160.6235  -160.6235    -0.0000
 -167.3460     0.1000  -167.3190  -167.3190    -0.0000
    0.5430     0.1000  -166.6833  -166.6833    -0.0000
    0.6800     0.1000  -166.6243  -166.6243    -0.0000
    1.1800     0.1000  -166.1025  -166.1024    -0.0001
    1.3510     0.1000  -165.9209  -165.9210     0.0001
    1.4300     0.1000  -165.8564  -165.8564    -0.0000
    2.0680     0.1000  -165.1870  -165.1869    -0.0001
    2.2360     0.1000  -165.1023  -165.1022    -0.0001
    2.4500     0.1000  -164.8467  -164.8466    -0.0001
    3.2430     0.1000  -164.0550  -164.0550    -0.0000
    3.7240     0.1000  -163.4547  -163.4547    -0.0000
    3.9090     0.1000  -163.3923  -163.3923    -0.0000
 -172.4780     0.1000  -172.4001  -172.4001     0.0000
    1.4150     0.1000  -170.9948  -170.9948     0.0000
    2.0990     0.1000  -170.2843  -170.2843     0.0000
    2.4240     0.1000  -170.0278  -170.0278     0.0000
    2.5310     0.1000  -169.9119  -169.9119     0.0000
    2.6490     0.1000  -169.7537  -169.7537     0.0000
    3.1840     0.1000  -169.2203  -169.2202    -0.0001
    3.7840     0.1000  -168.5800  -168.5800    -0.0000
 -174.4880     0.1000  -174.4919  -174.4918    -0.0001
    0.7160     0.1000  -173.7945  -173.7945     0.0000
    1.2900     0.1000  -173.1741  -173.1741     0.0000
    1.4180     0.1000  -172.9810  -172.9810     0.0000
    1.6730     0.1000  -172.7603  -172.7602    -0.0001
    2.0200     0.1000  -172.4230  -172.4230    -0.0000
    2.0530     0.1000  -172.3804  -172.3804    -0.0000
    2.3430     0.1000  -172.0903  -172.0903     0.0000
 -178.5090     0.1000  -178.5086  -178.5086     0.0000
    1.3950     0.1000  -177.1354  -177.1354    -0.0000
    2.0820     0.1000  -176.4406  -176.4406     0.0000
    2.2800     0.1000  -176.2443  -176.2443     0.0000
    2.4280     0.1000  -176.0878  -176.0878     0.0000
    2.6270     0.1000  -175.8181  -175.8180    -0.0001
 -179.5910     0.1000  -179.6294  -179.6294     0.0000
 -178.5910     1.2042  -178.6770  -178.6770    -0.0000
    1.3000    -0.0500  -177.3818  -177.3818     0.0000
