Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    3.4480     0.1000  -137.9498     3.4755  -141.4253
    3.5890     0.1000  -137.8340     3.5179  -141.3519
    4.3750     1.0060  -137.2935     4.1066  -141.4001
    5.2480     0.1000  -136.2135     5.1546  -141.3681
    5.6440     0.1000  -135.9077     5.4781  -141.3858
 -146.4880     0.1000  -146.5552  -146.5293    -0.0259
    0.1050     0.1000  -146.4562     0.1219  -146.5781
    1.1870     0.1000  -145.3542     1.2097  -146.5639
    1.3130     0.1000  -145.2079     1.3881  -146.5960
    1.5810     0.1000  -145.0081     1.4825  -146.4906
    1.6130     0.1000  -144.8879     1.5506  -146.4385
    1.6370     0.1000  -144.9409     1.6129  -146.5538
    1.7900     0.1000  -144.6920     1.7909  -146.4829
    1.9840     0.1000  -144.5695     2.0413  -146.6108
    2.0340     0.1000  -144.5144     2.0329  -146.5473
    2.2900     0.1000  -144.2990     2.2986  -146.5976
    2.4130     0.1000  -144.1205     2.4704  -146.5909
    2.6600     0.1000  -143.8280     2.6913  -146.5193
    3.1100     0.1000  -143.4145     3.1393  -146.5538
    3.4660     0.1000  -143.0368     3.4477  -146.4845
 -153.9470     0.1000  -153.9255  -153.9176    -0.0079
    1.5100     0.1000  -152.3742     1.5919  -153.9661
    2.2830     0.1000  -151.6221     2.2633  -153.8854
    2.5200     0.1000  -151.4315     2.5112  -153.9427
    2.5270     0.1000  -151.4573     2.4996  -153.9569
    2.6120     0.1000  -151.3591     2.6361  -153.9952
    2.7600     0.1000  -151.2446     2.7026  -153.9472
    2.8500     0.1000  -151.0293     2.8214  -153.8507
    3.0910     1.2042  -150.9128     3.0710  -153.9838
    3.6230     1.2042  -150.3642     3.6117  -153.9759
 -158.0340     0.1000  -158.0443  -158.0159    -0.0284
    0.3920     0.1000  -157.6290     0.4129  -158.0419
    0.6810     0.1000  -157.2949     0.7233  -158.0182
    1.4080     0.1000  -156.6111     1.4944  -158.1055
    1.4340     0.1000  -156.5771     1.5321  -158.1092
    1.5160     0.1000  -156.5051     1.5107  -158.0158
    2.1850     0.1000  -155.8698     2.1481  -158.0179
    2.1850     0.1000  -155.8004     2.2171  -158.0175
    2.1850     0.1000  -155.8911     2.1715  -158.0626
    2.5350     0.1000  -155.4965     2.5399  -158.0364
    3.2810     0.1000  -154.7604     3.2701  -158.0305
    3.8880     0.1000  -154.0724     3.9532  -158.0256
 -164.3000     0.1000  -164.2323  -164.2473     0.0150
    1.4310     0.1000  -162.7701     1.4544  -164.2245
    2.1870     0.1000  -162.0518     2.2185  -164.2703
    2.4980     0.1000  -161.7524     2.4890  -164.2414
    2.5030     0.1000  -161.7629     2.5170  -164.2799
    2.6240     0.1000  -161.6498     2.5914  -164.2412
    2.6440     0.1000  -161.6644     2.6276  -164.2920
    2.9950     0.1000  -161.1674     2.9307  -164.0981
    3.6580     0.1000  -160.6235     3.6345  -164.2580
 -167.3460     0.1000  -167.3190  -167.3246     0.0056
    0.5430     0.1000  -166.6833     0.6050  -167.2883
    0.6800     0.1000  -166.6243     0.7033  -167.3276
    1.1800     0.1000  -166.1025     1.1612  -167.2637
    1.3510     0.1000  -165.9209     1.3889  -167.3098
    1.4300     0.1000  -165.8564     1.4500  -167.3064
    2.0680     0.1000  -165.1870     2.1226  -167.3096
    2.2360     0.1000  -165.1023     2.2142  -167.3165
    2.4500     0.1000  -164.8467     2.4925  -167.3392
    3.2430     0.1000  -164.0550     3.2378  -167.2928
    3.7240     0.1000  -163.4547     3.8040  -167.2587
    3.9090     0.1000  -163.3923     3.8999  -167.2922
 -172.4780     0.1000  -172.4001  -172.4411     0.0410
    1.4150     0.1000  -170.9948     1.3916  -172.3864
    2.0990     0.1000  -170.2843     2.1055  -172.3898
    2.4240     0.1000  -170.0278     2.4045  -172.4323
    2.5310     0.1000  -169.9119     2.5205  -172.4324
    2.6490     0.1000  -169.7537     2.6573  -172.4110
    3.1840     0.1000  -169.2203     3.2022  -172.4225
    3.7840     0.1000  -168.5800     3.8044  -172.3844
 -174.4880     0.1000  -174.4919  -174.5157     0.0238
    0.7160     0.1000  -173.7945     0.6850  -174.4795
    1.2900     0.1000  -173.1741     1.2639  -174.4380
    1.4180     0.1000  -172.9810     1.4981  -174.4791
    1.6730     0.1000  -172.7603     1.6899  -174.4502
    2.0200     0.1000  -172.4230     2.0157  -174.4387
    2.0530     0.1000  -172.3804     2.0790  -174.4594
    2.3430     0.1000  -172.0903     2.3788  -174.4691
 -178.5090     0.1000  -178.5086  -178.5195     0.0109
    1.3950     0.1000  -177.1354     1.3082  -178.4436
    2.0820     0.1000  -176.4406     2.0870  -178.5276
    2.2800     0.1000  -176.2443     2.2023  -178.4466
    2.4280     0.1000  -176.0878     2.4083  -178.4961
    2.6270     0.1000  -175.8181     2.7129  -178.5310
 -179.5910     0.1000  -179.6294  -179.6129    -0.0165
 -178.5910     1.2042  -178.6770  -178.6429    -0.0341
    1.3000    -0.0500  -177.3818     1.3015  -178.6833
    2.4000    -0.0500  -176.2632     2.4047  -178.6679
 -182.5990     0.2600  -182.6056  -182.4978    -0.1078
Parameter outputs (0.616 MeV RMS for JP fit) 
BAB    JP    Diff 
  -14.8441     0.0000    14.8441
  -14.1266     0.0000    14.1266
  -13.3292     0.0000    13.3292
   -9.6414     0.0000     9.6414
   -0.2067     0.0000     0.2067
   -0.8678     0.0000     0.8678
   -0.7318     0.0000     0.7318
    2.4351     0.0000    -2.4351
    0.1145     0.0000    -0.1145
   -1.0376     0.0000     1.0376
    1.0034     0.0000    -1.0034
    0.5429     0.0000    -0.5429
    0.7589     0.0000    -0.7589
   -0.5492     0.0000     0.5492
    0.8296     0.0000    -0.8296
    0.1021     0.0000    -0.1021
    0.6828     0.0000    -0.6828
    0.4007     0.0000    -0.4007
   -0.2650     0.0000     0.2650
   -0.3456     0.0000     0.3456
   -0.2631     0.0000     0.2631
   -0.4604     0.0000     0.4604
    0.5412     0.0000    -0.5412
    1.0486     0.0000    -1.0486
    0.2069     0.0000    -0.2069
    0.2535     0.0000    -0.2535
    0.5297     0.0000    -0.5297
   -0.6338     0.0000     0.6338
    0.2174     0.0000    -0.2174
    0.0948     0.0000    -0.0948
   -0.4860     0.0000     0.4860
    0.6922     0.0000    -0.6922
    0.0519     0.0000    -0.0519
    0.2641     0.0000    -0.2641
   -0.6149     0.0000     0.6149
    0.6450     0.0000    -0.6450
    0.1137     0.0000    -0.1137
    0.3851     0.0000    -0.3851
   -0.0932     0.0000     0.0932
    0.8055     0.0000    -0.8055
   -0.1203     0.0000     0.1203
    1.1052     0.0000    -1.1052
    0.2974     0.0000    -0.2974
    0.1430     0.0000    -0.1430
   -0.4017     0.0000     0.4017
    0.6100     0.0000    -0.6100
    0.1252     0.0000    -0.1252
    0.2433     0.0000    -0.2433
    0.2528     0.0000    -0.2528
   -0.8081     0.0000     0.8081
    0.5710     0.0000    -0.5710
   -0.0019     0.0000     0.0019
   -0.1160     0.0000     0.1160
    0.5539     0.0000    -0.5539
   -0.1592     0.0000     0.1592
    0.5947     0.0000    -0.5947
    0.3390     0.0000    -0.3390
    0.2606     0.0000    -0.2606
    0.0500     0.0000    -0.0500
   -0.4193     0.0000     0.4193
    0.0716     0.0000    -0.0716
    0.4405     0.0000    -0.4405
    0.0839     0.0000    -0.0839
    0.6153     0.0000    -0.6153
    0.4516     0.0000    -0.4516
    0.8860     0.0000    -0.8860
    0.4090     0.0000    -0.4090
   -0.4253     0.0000     0.4253
    0.5655     0.0000    -0.5655

Elements of G: 
     51924.2593      26829.7831       9338.5950      34806.9624      10323.4244       4391.5811       4063.5280      -7588.4426       6879.9590       2296.4515      -4704.6887       4329.9586      -4045.4951       6429.4686      19125.2336        296.4876      13075.9384      38199.2423        227.6115       -359.2287        -37.9039        414.2240      -1023.6652      32233.6539        598.9968       -123.6145       -941.2020       3604.8257      22569.5288       -914.2864       -707.8428       -789.8831      16292.3741      29217.0439        -89.9176      -3027.5329      21495.5924       -366.8433      10626.5047      44932.0474       -421.1542      31997.9234      23045.2364       1996.9896      21591.7483      69063.7873       -655.2457       -274.9021      57699.6272       5321.3414      29337.5145       -506.6910       -242.6078      28459.3113        188.0243      22686.4768      18251.4866      36364.1505       1876.7252       -324.5475      35611.1288       -386.8418      28269.3761      42374.3775      -2958.5669      39677.8071      26379.4715      48456.7447      34564.0629
     26829.7831      20955.0612       7031.6705      22212.1425       5092.4336       1352.5032       1471.9872      -4077.1445       5285.3462       1262.3838      -3185.6974       2820.2778      -2588.8780       4395.8384      13287.6164         69.0193       9835.1390      19824.3523        181.8955        339.5213        110.7559         69.7265       -492.0263      22167.4135       -506.8785       -632.3371       -541.8130       2650.3774      15619.7666        119.5786        267.0495       -985.0196      10191.2285      23442.0230        344.5143      -2688.3162      16497.6155       -468.3710       7046.7376      30545.8779        204.3999      21593.0237      14329.6251       1417.0123      14705.2913      35422.5694        -52.8533         58.3867      40076.7241       3820.9829      18237.0068       -258.9061       -334.3480      19809.9338        -17.2523      14733.7920      12137.7357      22623.4301       1367.4332       -543.6146      24754.2928         39.6847      18279.5232      26408.1258      -1683.3054      27698.8849      17531.9868      30337.0402      22785.0260
      9338.5950       7031.6705       6605.9938       8868.7670       1884.8885        865.2789        540.2469      -2412.6861       1849.4467        438.7266      -1939.5244       3791.0499      -2570.4240       2476.0873       4230.8076        -38.5619       8089.6127       6487.1350         62.8560        168.5580         36.7853         43.7354        -73.6896       7058.5769       -287.1939       -240.5982         26.0853       1222.4676      13700.0676        232.2515        216.8149      -1054.9220       3593.6991       7502.3842         28.6965      -1100.5478      13529.9138       -351.9690       2934.6122       9638.2558         28.4460      18968.0080       5092.5882        898.7568       4655.8856      11419.9218          9.6530        147.8602      12425.7279       1459.1071       6448.0979       -113.9408      -1068.7843       6559.2299       -680.9066      13959.6045       5217.7009       8070.8446        861.0203      -1864.7629       8458.1061       1262.6714      15849.2584       9337.6708      -1147.6460       8848.3548       7541.6616      10606.3688       8821.3841
     34806.9624      22212.1425       8868.7670      40850.5481       6478.4375       1850.6939       2069.4087      -4285.2234       5682.5091       1547.0901      -3113.2708       4310.1588      -3211.8545       7704.1044      15439.2683        105.0076      12206.9838      26730.6680        123.8090        118.3333        -39.2964        138.2966        -34.2414      25781.4736          4.1214        -31.1367       -369.6798        476.7480      20696.4411       -195.0797        325.1263        266.6314      19094.6183      25327.9446         79.9531       -456.6398      20524.9730        332.3238      13631.8227      36041.1446         41.0765      28737.8666      26723.0615        402.4363      26561.7265      48125.7052        -80.4010       -147.6273      46444.7042        782.5608      34215.9746       -365.6087        570.1118      34067.8430        821.3685      28899.7693      24188.7251      41818.2587        217.1534       1080.3896      41944.4341      -1337.2941      35778.9946      49551.1300       -876.0793      48874.6353      35273.0320      57460.1468      46265.4244
     10323.4244       5092.4336       1884.8885       6478.4375       3414.2741       2669.9636       1992.5328      -3149.8947       1764.0178       1129.4079      -2030.6599       1161.6048      -1785.4926       2033.8065       3534.3513        182.4131       2481.7408       7329.7058        346.3709       -665.9431       -416.1476       -480.8917        154.6166       6069.0485        490.0157        292.5543        -80.6852        752.7232       4046.6808       -659.3719       -681.5100        179.8027       2900.6672       5337.3345       -448.3634       -454.6843       3910.3425        251.4522       1807.5445       8417.9518       -255.6921       6202.1015       4181.0067        770.3262       3720.6191      13638.0279       -318.9504         52.9206      10459.5780       1020.9317       5305.4773       -169.8555       -288.6918       5178.8352        -96.9302       4130.9450       3323.8395       6590.3830        627.7312       -492.7826       6502.6737        226.2425       4899.2110       7627.3718       -884.1307       6950.9274       4852.4184       8542.7953       6027.8036
      4391.5811       1352.5032        865.2789       1850.6939       2669.9636       3976.6593       2318.3071      -3267.6770       1512.8591       1594.2972      -2595.5998       1020.1619      -2105.4659       1831.8349        546.9710        254.9986        962.3704       2012.2325        521.7767       -938.5547       -675.5854       -934.9861        512.9463       1272.5178        770.8082        654.0379        232.5542        192.0587       1274.5247       -943.7699       -847.5869        494.1331        444.7547       1416.6929       -860.6587         82.1251       1386.9449        558.4789        149.7462       1892.6302       -303.6438       2490.0964        749.1218        803.3462        489.5338       4423.7187       -294.4715        122.5265       1819.8257        172.4764        950.4754       -168.0710       -418.0140       1185.7686       -179.8896       1511.1575        660.2755       1199.4694        567.4381       -745.8179       1600.2501        434.6596       1377.5512       1394.4775       -720.2644       1242.7068       1047.1758       1343.8254        800.1721
      4063.5280       1471.9872        540.2469       2069.4087       1992.5328       2318.3071       2525.7622      -2812.3585        891.2164       1568.4610      -2022.5357       1306.5767      -2600.4544       1872.2031        856.9452        204.0199        629.4930       2402.1818        248.3734       -636.2536       -397.1949       -510.6151        452.1212       1587.3346        545.0012        357.8887        -77.1521        166.9464        707.6488       -720.2588       -747.8583        744.8720        623.2773       1101.8600       -481.1669        183.3601        853.0617        708.9043        131.9353       2263.8197       -225.7992       1595.1513        963.4302        682.6589        755.5622       4785.3191       -185.6231         72.4128       2599.8354        241.1376       1209.5753       -219.0526       -431.7450       1411.7664       -186.4237       1787.2209        760.7121       1525.7006        427.5299       -779.3002       1809.8350        441.1308       1494.3829       1778.2773       -693.1791       1559.8620       1238.6456       1819.9642       1105.3208
     -7588.4426      -4077.1445      -2412.6861      -4285.2234      -3149.8947      -3267.6770      -2812.3585       5666.3701      -1783.3799      -1740.7480       4077.5074      -2082.7152       4397.7512      -4882.5546      -2375.1388       -186.1800      -3104.6663      -4614.2990       -322.4549        833.2607        475.8669        680.1664       -672.6766      -4169.4586       -597.5158       -315.0163       -104.4833       -966.9043      -4453.0821        816.2153       1077.4401       -639.3137      -1303.1542      -4057.6754        666.8187        413.4137      -4800.1354       -866.1881       -801.8960      -5777.2664        262.6403      -7085.5197      -2017.7829      -1571.8644      -1667.3347      -8807.2280        222.4998       -302.8577      -7058.4767      -1162.0974      -2519.5730        260.5299       1084.2519      -3207.3144        535.2740      -4578.7665      -2301.9379      -3279.7062      -1207.2132       1905.8372      -4304.8765      -1238.4758      -4221.9258      -3622.5065       1611.1530      -3592.8982      -3494.0142      -3661.2000      -2671.6365
      6879.9590       5285.3462       1849.4467       5682.5091       1764.0178       1512.8591        891.2164      -1783.3799       1961.1817        837.2118      -1624.1055        853.1158      -1184.1632       1555.3916       3290.8919         97.3148       2613.2043       4675.3655        145.4741       -166.9394       -131.8563       -297.1010         57.0895       5603.0317         45.2747         75.8789         27.9153        658.1260       3866.6919       -233.4474       -152.8205       -120.5211       2497.4628       6580.0394       -231.5632       -652.7541       4355.0916         49.7501       1715.4215       7724.3618         -8.6193       5544.0951       3537.0903        606.7140       3760.0038       8551.6758        -39.9219         79.9472       9883.5453        863.5209       4513.0247        -97.4556       -218.7723       5309.0703        -73.7724       3475.3598       3104.7334       5599.6225        510.7330       -384.4598       6664.3885        166.0686       4205.6481       6553.6027       -554.1410       7327.6894       4531.7618       7458.1057       5721.1508
      2296.4515       1262.3838        438.7266       1547.0901       1129.4079       1594.2972       1568.4610      -1740.7480        837.2118       1171.4791      -1473.8697        897.1224      -1701.6993       1286.5833        582.9045        140.5577        477.1586       1150.0607        155.0867       -339.5139       -232.5569       -359.3731        305.9656       1081.1493        267.0002        251.4128        -16.0130         72.6408        570.7720       -464.3727       -373.6282        455.0725        476.6120       1220.5303       -337.9265         82.5960        728.1348        461.7331        122.9732       1526.4152        -81.1606       1115.0772        709.9604        447.0648        602.8381       2346.6415        -65.2886         58.1001       1801.8693         93.2373        897.1649       -145.0378       -241.1251       1120.3569        -52.0511       1262.3363        575.0124       1115.3199        277.2278       -455.0848       1429.8133        232.5465       1046.7804       1339.6147       -414.0543       1301.1194        940.6277       1433.8224        882.6563
     -4704.6887      -3185.6974      -1939.5244      -3113.2708      -2030.6599      -2595.5998      -2022.5357       4077.5074      -1624.1055      -1473.8697       3282.5446      -1646.6344       3392.7240      -3637.3754      -1647.0734       -142.5347      -2479.9821      -2497.3729       -241.0947        542.3456        335.2460        587.4571       -554.7710      -2927.9210       -362.3511       -242.4897       -175.6817       -682.7839      -3529.7427        569.5258        688.0265       -439.4855       -895.7833      -3510.0088        552.9849        364.2070      -3933.1350       -667.5421       -524.1743      -4060.8193        120.6444      -5508.6345      -1382.1076      -1223.4013      -1155.1539      -4863.9127         75.6388       -263.8462      -5005.3870       -784.6794      -1737.9383        198.9309        863.6017      -2401.1310        439.4928      -3483.5300      -1657.3379      -2273.7443       -940.3008       1524.2707      -3278.3506       -967.2237      -3222.5287      -2542.1065       1199.5792      -2665.7836      -2553.8320      -2587.0233      -1929.7655
      4329.9586       2820.2778       3791.0499       4310.1588       1161.6048       1020.1619       1306.5767      -2082.7152        853.1158        897.1224      -1646.6344       3349.7771      -2716.6400       1885.3724       1452.4827         47.9035       4914.6139       2456.1525         61.9364       -164.0560        -93.8593       -167.4654        213.7782       2474.6741         62.3778         27.0738         10.2045        485.7770       8112.4324       -148.9479       -259.1869       -186.9429       1430.4791       2498.6944       -156.5958       -278.2411       8117.8117        169.6168       1211.8024       3419.8873        -42.8512      11541.7713       2054.8261        649.5185       1683.5658       4510.7236        -13.2549        104.2298       4354.1748        568.5681       2583.7752       -151.0473       -859.0524       2603.2079       -504.8240       9962.9001       2479.7560       3253.8007        511.9360      -1565.7991       3417.2642       1093.6701      10682.0331       3772.5783       -803.2455       3271.6033       3657.6500       4188.9799       3823.5644
     -4045.4951      -2588.8780      -2570.4240      -3211.8545      -1785.4926      -2105.4659      -2600.4544       4397.7512      -1184.1632      -1701.6993       3392.7240      -2716.6400       4952.0505      -4068.4803      -1263.0960       -117.8770      -3293.6600      -2058.6691       -164.5955        490.7753        271.7764        439.9233       -728.7307      -2208.4541       -349.1315       -178.0365        -90.5007       -491.3559      -4826.5551        528.5904        779.0942       -626.6748       -863.3273      -2401.2324        441.4870         12.3777      -5240.6226       -961.9664       -293.1177      -3080.5569        110.5167      -7373.0516      -1312.5064      -1257.1777      -1103.0577      -3983.4156         40.1142       -262.3206      -3811.5951       -570.7984      -1646.1964        276.4101       1386.0187      -2327.6159        908.8279      -4864.3907      -1663.8657      -2177.6201       -888.2329       2389.8972      -3220.4162      -1521.3088      -4387.0442      -2468.5580       1384.2252      -2484.0887      -2722.6100      -2485.9831      -1943.0194
      6429.4686       4395.8384       2476.0873       7704.1044       2033.8065       1831.8349       1872.2031      -4882.5546       1555.3916       1286.5833      -3637.3754       1885.3724      -4068.4803       5984.7421       2561.5220         65.1199       3201.3461       4023.7808        139.5697       -344.9181       -205.0978       -307.0611        690.0867       4326.7800        244.5526        110.7712        109.2775        365.5356       4745.9753       -387.7128       -514.8979        781.6366       2964.4125       4637.3999       -328.9757          0.2963       5152.5213        911.8945       2139.5619       6037.0955        -62.3431       7057.9787       4255.8384       1115.6829       4145.7408       7419.1305        -21.6705        262.1891       7652.6788        347.6326       5410.8966       -207.1254       -686.5541       6112.5420       -158.2559       6701.4829       4780.9493       6692.8594        771.5501      -1239.3145       7741.8090        787.4006       6741.3553       7817.1284      -1120.9865       8090.8191       7164.8925       8738.4577       7310.2293
     19125.2336      13287.6164       4230.8076      15439.2683       3534.3513        546.9710        856.9452      -2375.1388       3290.8919        582.9045      -1647.0734       1452.4827      -1263.0960       2561.5220       9373.7013         15.7872       6087.3570      14915.1249         -7.5592        203.2630         81.2467        159.2811       -432.2356      15463.8515       -249.4307       -417.7274       -390.9611       1771.5558       9854.1205         65.0149         19.7956       -627.5458       7416.2992      15464.8793        208.9507      -1711.6916      10134.7467       -360.2966       5027.5561      21299.0955         25.8897      13740.8054      10431.5360        853.8982      10461.5116      26473.0673       -111.9409          7.3892      27642.8114       2512.5021      13285.9421       -152.1119       -112.9628      13929.4360         32.5545       9061.4589       8607.0383      16459.9336        845.9998       -164.7274      17320.2125        -95.3165      11520.0768      19174.6458      -1064.9525      19533.0005      12446.8181      21995.9847      16394.1395
       296.4876         69.0193        -38.5619        105.0076        182.4131        254.9986        204.0199       -186.1800         97.3148        140.5577       -142.5347         47.9035       -117.8770         65.1199         15.7872         59.8264        -59.4747        177.0467          6.1595        -97.1780        -65.8654        -95.0595         38.4017         77.2374         74.9310         68.1780        -58.9443         -4.6163       -117.9618       -139.8913       -105.4445         79.0945         29.3601         14.9564        -66.0428         39.3102       -113.3120         51.9671         -3.5306         95.6712        -26.8469        -97.7131         51.6499         49.8146         35.6280        428.6816        -15.6408          0.4187        126.2128          2.4909         70.3308        -11.9860         -3.1257         59.6299          3.6330          2.3541         12.7246         83.8881         17.1688         -6.3715         61.9324          1.2818          2.6161         95.3182        -46.8966         64.5725         23.2542         92.2519         34.0750
     13075.9384       9835.1390       8089.6127      12206.9838       2481.7408        962.3704        629.4930      -3104.6663       2613.2043        477.1586      -2479.9821       4914.6139      -3293.6600       3201.3461       6087.3570        -59.4747      11042.6198       8937.9400         33.2392         56.6936         38.9661        -83.2979        -90.3154      10207.9719       -268.7220       -274.7164        143.3235       1694.2576      17949.4729        240.8776        -27.3112      -1335.3090       4982.5776      11210.1447        -28.7020      -1539.7688      18233.0292       -441.0430       4133.8119      14074.2436         46.9073      25079.7069       7058.4295       1227.0023       6984.2367      15976.2805         69.3009        213.9796      18197.3038       2113.3635       8966.2601       -121.6644      -1454.9432       9812.5310      -1003.0272      18460.6607       7407.0317      11237.0765       1173.1577      -2546.3734      12577.0745       1787.7909      21023.1892      12987.6029      -1506.3250      13363.3266      10710.4333      14717.6565      12646.2341
