nuc     error      exp      theory      difference
rb     0.1500     0.8450     0.6546    -0.1904 -                0.1298     0.1298     0.0000
rb     0.1500     1.3490     1.6611     0.3121 +++              0.1352     0.1352     0.0000
rb     0.1500     1.3900     1.2223    -0.1677 -                0.1358     0.1358     0.0000
rb     0.1500     1.4630     1.3915    -0.0715                  0.1350     0.1350     0.0000
rb     0.1500     1.5780     1.4909    -0.0871                  0.1343     0.1343     0.0000
rb     0.1500     1.6780     1.8450     0.1670 +                0.1349     0.1349     0.0000
rb     0.1500     3.0010     3.0708     0.0698                  0.1341     0.1341     0.0000
rb     0.1500     3.0990     3.0279    -0.0711                  0.1333     0.1333     0.0000
rb     0.1500     3.6440     3.5006    -0.1434 -                0.1335     0.1335     0.0000
rb     0.1500     4.1510     4.1529     0.0019                  0.1325     0.1325     0.0000
sr     0.1500  -125.9040  -125.9573    -0.0533                  0.1316     0.1316     0.0000
sr     0.1500     1.8360     1.8438     0.0078                  0.1306     0.1306     0.0000
sr     0.1500     2.7340     2.6850    -0.0490                  0.1298     0.1298     0.0000
sr     0.1500     3.1560     3.2699     0.1139 +                0.1296     0.1296     0.0000
sr     0.1500     3.2180     3.1656    -0.0524                  0.1288     0.1288     0.0000
sr     0.1500     3.6350     3.4382    -0.1968 -                0.1300     0.1300     0.0000
sr     0.1500     3.4870     3.4085    -0.0785                  0.1294     0.1294     0.0000
sr     0.1500     3.5850     3.5161    -0.0689                  0.1288     0.1288     0.0000
sr     0.1500     3.9530     3.8287    -0.1243 -                0.1287     0.1287     0.0000
sr     1.0122     3.9920     3.8410    -0.1510 o                0.1287     0.1287     0.0000
sr     0.1500     4.0200     4.0680     0.0480                  0.1279     0.1279     0.0000
 y     0.1500  -132.9830  -133.0590    -0.0760                  0.1274     0.1274     0.0000
 y     0.1500     0.9090     0.8793    -0.0297                  0.1266     0.1266     0.0000
 y     0.1500     1.5070     1.5486     0.0416                  0.1259     0.1259     0.0000
 y     0.1500     1.7450     1.6311    -0.1139 -                0.1257     0.1257     0.0000
 y     0.1500     2.2220     2.0377    -0.1843 -                0.1266     0.1266     0.0000
 y     0.1500     2.5300     2.4972    -0.0328                  0.1259     0.1259     0.0000
 y     0.1500     2.5670     2.4627    -0.1043 -                0.1256     0.1256     0.0000
 y     0.1500     2.6220     2.7408     0.1188 +                0.1256     0.1256     0.0000
 y     0.1500     2.8930     2.8494    -0.0436                  0.1249     0.1249     0.0000
 y     0.1500     3.3430     3.1885    -0.1545 -                0.1253     0.1253     0.0000
 y     0.1500     4.1320     4.0747    -0.0573                  0.1247     0.1247     0.0000
 y     0.1500     4.4500     4.4486    -0.0014                  0.1240     0.1240     0.0000
 y     0.1500     4.8390     4.9335     0.0945                  0.1237     0.1237     0.0000
zr     0.1500  -141.3330  -141.3522    -0.0192                  0.1230     0.1237     0.0192
zr     0.1500     1.7610     1.7732     0.0122                  0.1223     0.1237     0.0161
zr     0.1500     2.1860     2.1948     0.0088                  0.1216     0.1237     0.0141
zr     0.1500     2.3190     2.2668    -0.0522                  0.1211     0.1237     0.0288
zr     0.1500     2.7390     2.6745    -0.0645                  0.1206     0.1237     0.0387
zr     0.1500     2.7480     2.7550     0.0070                  0.1200     0.1237     0.0354
zr     0.1500     3.0770     3.0657    -0.0113                  0.1193     0.1237     0.0331
zr     0.1500     3.3090     3.4308     0.1218 +                0.1194     0.1237     0.0530
zr     0.1500     3.4480     3.3762    -0.0718                  0.1190     0.1237     0.0554
zr     0.1500     3.5890     3.4929    -0.0961                  0.1187     0.1237     0.0607
zr     1.0122     4.3750     4.1907    -0.1843 o                0.1187     0.1237     0.0607
zr     0.1500     5.2480     5.1174    -0.1306 -                0.1189     0.1237     0.0700
zr     0.1500     5.6440     5.4877    -0.1563 -                0.1193     0.1237     0.0808
nb     0.1500  -146.4880  -146.5638    -0.0758                  0.1189     0.1237     0.0804
nb     0.1500     0.1050     0.1176     0.0126                  0.1184     0.1237     0.0776
nb     0.1500     1.1870     1.2106     0.0236                  0.1178     0.1237     0.0752
nb     0.1500     1.3130     1.3553     0.0423                  0.1173     0.1237     0.0736
nb     0.1500     1.5810     1.5646    -0.0164                  0.1168     0.1237     0.0715
nb     0.1500     1.6130     1.6125    -0.0005                  0.1162     0.1237     0.0695
nb     0.1500     1.6370     1.6433     0.0063                  0.1156     0.1237     0.0676
nb     0.1500     1.7900     1.8547     0.0647                  0.1153     0.1237     0.0675
nb     0.1500     1.9840     1.9722    -0.0118                  0.1147     0.1237     0.0659
nb     0.1500     2.0340     2.0335    -0.0005                  0.1142     0.1237     0.0644
nb     0.1500     2.2900     2.2782    -0.0118                  0.1137     0.1237     0.0630
nb     0.1500     2.4130     2.4482     0.0352                  0.1132     0.1237     0.0621
nb     0.1500     2.6600     2.7174     0.0574                  0.1129     0.1237     0.0619
nb     0.1500     3.1100     3.1401     0.0301                  0.1124     0.1237     0.0610
nb     0.1500     3.4660     3.5023     0.0363                  0.1120     0.1237     0.0603
mo     0.1500  -153.9470  -153.9117     0.0353                  0.1115     0.1237     0.0596
mo     0.1500     1.5100     1.5454     0.0354                  0.1111     0.1237     0.0589
mo     0.1500     2.2830     2.2812    -0.0018                  0.1106     0.1237     0.0579
mo     0.1500     2.5200     2.5121    -0.0079                  0.1101     0.1237     0.0570
mo     0.1500     2.5270     2.4713    -0.0557                  0.1098     0.1237     0.0570
mo     0.1500     2.6120     2.5348    -0.0772                  0.1096     0.1237     0.0577
mo     0.1500     2.7600     2.6534    -0.1066 -                0.1095     0.1237     0.0597
mo     0.1500     2.8500     2.8645     0.0145                  0.1091     0.1237     0.0589
mo     1.2093     3.0910     3.0205    -0.0705                  0.1091     0.1237     0.0589
mo     1.2093     3.6230     3.5510    -0.0720                  0.1091     0.1237     0.0589
tc     0.1500  -158.0340  -158.0374    -0.0034                  0.1087     0.1237     0.0581
tc     0.1500     0.3920     0.4052     0.0132                  0.1082     0.1237     0.0573
tc     0.1500     0.6810     0.7444     0.0634                  0.1079     0.1237     0.0575
tc     0.1500     1.4080     1.4346     0.0266                  0.1075     0.1237     0.0569
tc     0.1500     1.4340     1.4570     0.0230                  0.1071     0.1237     0.0563
tc     0.1500     1.5160     1.5299     0.0139                  0.1067     0.1237     0.0556
tc     0.1500     2.1850     2.1737    -0.0113                  0.1063     0.1237     0.0550
tc     0.1500     2.1850     2.2204     0.0354                  0.1059     0.1237     0.0546
tc     0.1500     2.1850     2.1691    -0.0159                  0.1055     0.1237     0.0541
tc     0.1500     2.5350     2.5195    -0.0155                  0.1052     0.1237     0.0535
tc     0.1500     3.2810     3.2841     0.0031                  0.1048     0.1237     0.0529
tc     0.1500     3.8880     3.9667     0.0787                  0.1046     0.1237     0.0536
ru     0.1500  -164.3000  -164.2239     0.0761                  0.1044     0.1237     0.0542
ru     0.1500     1.4310     1.4669     0.0359                  0.1041     0.1237     0.0539
ru     0.1500     2.1870     2.1763    -0.0107                  0.1037     0.1237     0.0533
ru     0.1500     2.4980     2.4789    -0.0191                  0.1033     0.1237     0.0529
ru     0.1500     2.5030     2.4657    -0.0373                  0.1030     0.1237     0.0526
ru     0.1500     2.6240     2.5849    -0.0391                  0.1027     0.1237     0.0524
ru     0.1500     2.6440     2.5599    -0.0841                  0.1026     0.1237     0.0532
ru     0.1500     2.9950     3.0541     0.0591                  0.1023     0.1237     0.0533
ru     0.1500     3.6580     3.6202    -0.0378                  0.1020     0.1237     0.0530
rh     0.1500  -167.3460  -167.3103     0.0357                  0.1017     0.1237     0.0528
rh     0.1500     0.5430     0.5867     0.0437                  0.1014     0.1237     0.0526
rh     0.1500     0.6800     0.6905     0.0105                  0.1011     0.1237     0.0522
rh     0.1500     1.1800     1.2082     0.0282                  0.1008     0.1237     0.0519
rh     0.1500     1.3510     1.3970     0.0460                  0.1005     0.1237     0.0518
rh     0.1500     1.4300     1.4653     0.0353                  0.1002     0.1237     0.0516
rh     0.1500     2.0680     2.1313     0.0633                  0.1000     0.1237     0.0518
rh     0.1500     2.2360     2.2333    -0.0027                  0.0997     0.1237     0.0514
rh     0.1500     2.4500     2.4702     0.0202                  0.0993     0.1237     0.0511
rh     0.1500     3.2430     3.2808     0.0378                  0.0991     0.1237     0.0509
rh     0.1500     3.7240     3.8583     0.1343 +                0.0993     0.1237     0.0531
rh     0.1500     3.9090     3.9584     0.0494                  0.0991     0.1237     0.0530
pd     0.1500  -172.4780  -172.4011     0.0769                  0.0990     0.1237     0.0535
pd     0.1500     1.4150     1.4129    -0.0021                  0.0987     0.1237     0.0531
pd     0.1500     2.0990     2.1302     0.0312                  0.0984     0.1237     0.0528
pd     0.1500     2.4240     2.3938    -0.0302                  0.0981     0.1237     0.0526
pd     0.1500     2.5310     2.4999    -0.0311                  0.0978     0.1237     0.0524
pd     0.1500     2.6490     2.6237    -0.0253                  0.0975     0.1237     0.0521
pd     0.1500     3.1840     3.1955     0.0115                  0.0972     0.1237     0.0518
pd     0.1500     3.7840     3.8391     0.0551                  0.0970     0.1237     0.0518
ag     0.1500  -174.4880  -174.4844     0.0036                  0.0967     0.1237     0.0515
ag     0.1500     0.7160     0.6897    -0.0263                  0.0965     0.1237     0.0512
ag     0.1500     1.2900     1.3226     0.0326                  0.0962     0.1237     0.0510
ag     0.1500     1.4180     1.5288     0.1108 +                0.0963     0.1237     0.0522
ag     0.1500     1.6730     1.7579     0.0849                  0.0962     0.1237     0.0527
ag     0.1500     2.0200     2.0924     0.0724                  0.0961     0.1237     0.0530
ag     0.1500     2.0530     2.1281     0.0751                  0.0960     0.1237     0.0533
ag     0.1500     2.3430     2.4211     0.0781                  0.0959     0.1237     0.0537
cd     0.1500  -178.5090  -178.5205    -0.0115                  0.0956     0.1237     0.0534
cd     0.1500     1.3950     1.3827    -0.0123                  0.0954     0.1237     0.0531
cd     0.1500     2.0820     2.1020     0.0200                  0.0951     0.1237     0.0528
cd     0.1500     2.2800     2.2995     0.0195                  0.0948     0.1237     0.0526
cd     0.1500     2.4280     2.4512     0.0232                  0.0946     0.1237     0.0523
cd     0.1500     2.6270     2.6121    -0.0149                  0.0943     0.1237     0.0521
in     0.1686  -179.5910  -179.6308    -0.0398                  0.0941     0.1237     0.0519
in     0.1545     0.6710     0.7380     0.0670                  0.0940     0.1237     0.0521
in    -0.0500     1.7800     1.7839     0.0039                  0.0937     0.1237     0.0519
in    -0.0500     3.5800     3.5860     0.0060                  0.0935     0.1237     0.0516
sn     0.2830  -182.5990  -182.6416    -0.0426                  0.0933     0.1237     0.0515
