       exp       theory         diff
 -164.1030    -164.0420      -0.0610
 -163.6220    -163.4718      -0.1502
 -163.4370    -163.4241      -0.0129
 -172.4780    -172.4194      -0.0586
 -171.0630    -171.0591      -0.0039
 -170.3790    -170.3501      -0.0289
 -170.0540    -170.1098       0.0558
 -169.9470    -169.9648       0.0178
 -169.8290    -169.8349       0.0059
 -169.2940    -169.3100       0.0160
 -168.6940    -168.6186      -0.0754
 -174.4880    -174.5254       0.0374
 -173.7720    -173.8778       0.1058
 -173.1980    -173.2079       0.0099
 -173.0700    -173.0786       0.0086
 -172.8150    -172.8361       0.0211
 -172.4680    -172.4563      -0.0117
 -172.4350    -172.4391       0.0041
 -172.1450    -172.1275      -0.0175
 -178.5090    -178.4883      -0.0207
 -177.1140    -177.1570       0.0430
 -176.4270    -176.4832       0.0562
 -176.2290    -176.2426       0.0136
 -176.0810    -176.0992       0.0182
 -175.8820    -175.8691      -0.0129
 -179.5910    -179.5774      -0.0136
 -178.5910    -178.7683       0.1773
 -177.2910    -177.2833      -0.0077
 -176.1910    -176.1877      -0.0033
 -182.5990    -182.4618      -0.1372
