nuc     error      exp      theory      difference
nb     0.1500     2.2900     2.2781     0.0119 
nb     0.1500     2.4130     2.4327    -0.0197 
nb     0.1500     2.6600     2.7054    -0.0454 
nb     0.1500     3.1100     3.1435    -0.0335 
nb     0.1500     3.4660     3.5052    -0.0392 
mo     0.1500  -796.5110  -796.4907    -0.0203 
mo     0.1500     1.5100     1.5435    -0.0335 
mo     0.1500     2.2830     2.2877    -0.0047 
mo     0.1500     2.5200     2.5069     0.0131 
mo     0.1500     2.5270     2.4787     0.0483 
mo     0.1500     2.6120     2.5459     0.0661 
mo     0.1500     2.7600     2.6662     0.0938 
mo     0.1500     2.8500     2.8986    -0.0486 
mo     1.2093     3.0910     3.0252     0.0658 
mo     1.2093     3.6230     3.5589     0.0641 
tc     0.1500  -800.5980  -800.6113     0.0133 
tc     0.1500     0.3920     0.3991    -0.0071 
tc     0.1500     0.6810     0.7386    -0.0576 
tc     0.1500     1.4080     1.4254    -0.0174 
tc     0.1500     1.4340     1.4556    -0.0216 
tc     0.1500     1.5160     1.5249    -0.0089 
tc     0.1500     2.1850     2.1806     0.0044 
tc     0.1500     2.1850     2.2274    -0.0424 
tc     0.1500     2.1850     2.1703     0.0147 
tc     0.1500     2.5350     2.5285     0.0065 
tc     0.1500     3.2810     3.2878    -0.0068 
tc     0.1500     3.8880     3.9736    -0.0856 
ru     0.1500  -806.8640  -806.8009    -0.0631 
ru     0.1500     1.4310     1.4644    -0.0334 
ru     0.1500     2.1870     2.1805     0.0065 
ru     0.1500     2.4980     2.4811     0.0169 
ru     0.1500     2.5030     2.4651     0.0379 
ru     0.1500     2.6240     2.5804     0.0436 
ru     0.1500     2.6440     2.5671     0.0769 
ru     0.1500     2.9950     3.0547    -0.0597 
ru     0.1500     3.6580     3.6154     0.0426 
rh     0.1500  -809.9100  -809.8840    -0.0260 
rh     0.1500     0.5430     0.5784    -0.0354 
rh     0.1500     0.6800     0.6935    -0.0135 
rh     0.1500     1.1800     1.2047    -0.0247 
rh     0.1500     1.3510     1.3941    -0.0431 
rh     0.1500     1.4300     1.4631    -0.0331 
rh     0.1500     2.0680     2.1332    -0.0652 
rh     0.1500     2.2360     2.2209     0.0151 
rh     0.1500     2.4500     2.4727    -0.0227 
rh     0.1500     3.2430     3.2688    -0.0258 
rh     0.1500     3.7240     3.8598    -0.1358 -
rh     0.1500     3.9090     3.9369    -0.0279 
pd     0.1500  -815.0420  -814.9704    -0.0716 
pd     0.1500     1.4150     1.4144     0.0006 
pd     0.1500     2.0990     2.1239    -0.0249 
pd     0.1500     2.4240     2.3867     0.0373 
pd     0.1500     2.5310     2.4965     0.0345 
pd     0.1500     2.6490     2.6115     0.0375 
pd     0.1500     3.1840     3.1954    -0.0114 
pd     0.1500     3.7840     3.8314    -0.0474 
ag     0.1500  -817.0520  -817.0525     0.0005 
ag     0.1500     0.7160     0.7022     0.0138 
ag     0.1500     1.2900     1.3228    -0.0328 
