   38.540   38.840   -0.300  94    3.234   2.467   5  6   0  0   1  1   
  102.400  106.200   -3.800  94    3.249   2.467   7  6   0  0   1  1   
  172.900  173.700   -0.800  94    3.249   2.552   7  8   0  0   1  1   
   31.830   33.510   -1.680  94    3.249   3.234   7  5   0  0   1  1   
  274.000  268.600    5.400  94    3.623   2.568   7  5   1  1   1  1 * 
  227.100  210.000   17.100  94    3.678   2.939   2  3   1  1   1  1 * 
   30.360   29.770    0.590  94    3.678   3.055   2  4   1  1   1  1   
  137.400  148.000  -10.600  94    3.707   2.568   6  5   1  1   1  1   
    0.105    0.741   -0.636  94    3.707   3.055   6  4   1  1   1  1   
    3.606    3.950   -0.344  94    3.707   3.623   6  7   1  1   1  1   
  136.700  146.000   -9.300  94    4.066   2.939   1  3   1  1   1  1   
   45.030   44.600    0.430  94    4.197   2.552   9  8   0  0   1  1   
   62.390   59.740    2.650  94    4.197   3.249   9  7   0  0   1  1   
   67.910   65.700    2.210  94    4.197   3.959   9  0   0  0   1  1   
    2.039    3.837   -1.798  94    4.856   1.464   1  2   0  0   1  1   
  234.300  233.100    1.200  96    1.396   0.000   2  0   0  0   1  1 * 
   28.840   24.700    4.140  96    2.130   1.396   4  2   0  0   1  1   
    4.448    5.198   -0.750  96    2.488   2.361   8  6   0  0   1  1   
   96.570   98.360   -1.790  96    3.165   2.361   7  6   0  0   1  1   
  164.600  166.800   -2.200  96    3.165   2.488   7  8   0  0   1  1   
   67.370   65.770    1.600  96    3.165   3.096   7  5   0  0   1  1   
  201.700  196.100    5.600  96    3.609   2.615   7  5   1  1   1  1 * 
   45.120   45.120    0.000  96    4.129   2.488   9  8   0  0   1  1   
   44.050   46.390   -2.340  96    4.129   3.165   9  7   0  0   1  1   
   54.500   58.260   -3.760  96    4.129   3.834   9  0   0  0   1  1   
   25.280   29.280   -4.000  96    4.255   3.609   8  7   1  1   1  1   
  109.400  106.700    2.700  96    4.255   3.692   8  6   1  1   1  1   
    0.020    0.093   -0.073  96    5.452   4.137   0  9   1  1   1  1   
    1.466    2.428   -0.962  96    5.452   4.255   0  8   1  1   1  1   
    7.572    9.521   -1.949  96    5.452   4.358   0  1   1  1   1  1   
    3.193    7.806   -4.613  96    6.085   3.945   0  2   1  1   1  1   
  151.600  150.900    0.700  98    1.361   0.000   2  0   0  0   1  1   
  163.600  163.800   -0.200  98    2.098   1.361   4  2   0  0   1  1   
  116.100  117.000   -0.900  98    2.280   2.098   6  4   0  0   1  1   
   47.340   47.340    0.000  98    2.440   2.280   8  6   0  0   1  1   
    7.140    7.152   -0.012  98    3.173   2.602   4  5   1  1   1  1   
  147.500  142.700    4.800  98    3.257   2.602   3  5   1  1   1  1   
    1.974    3.570   -1.596  98    3.257   3.173   3  4   1  1   1  1   
   39.500   42.700   -3.200  98    4.538   2.602   6  5   1  1   1  1   
   67.490   61.170    6.320  98    4.538   3.173   6  4   1  1   1  1   
    0.007    0.001    0.006  98    5.097   1.361   1  2   0  0   1  1   
   72.200   71.720    0.480  98    5.133   2.602   7  5   1  1   1  1   
    9.314    9.346   -0.032  98    5.133   4.538   7  6   1  1   1  1   
    0.167    0.150    0.017  98    7.241   1.361   3  2   0  0   1  1   
    0.200    0.214   -0.014  98    7.241   2.098   3  4   0  0   1  1   
    3.415    2.310    1.105  98    7.241   5.097   3  1   0  0   1  1   
