   0.000   0.000   0.000   80   0   1   0
   1.339   1.347   1.339   81   5   1   1
   0.000   0.000   0.000   82   0   1   0
   1.359   1.355   1.359   83   5   1   1
   0.000   0.000   0.000   84   0   1   0
   3.301   3.334   3.301   85   3   1   1
   0.000   0.000   0.000   86   0   1   0
   2.869   2.928   2.869   87   3   1   1
   0.000   0.000   0.000   88   0   1   0
  -0.191  -0.195  -0.191   89   1   1   1
   0.000   0.000   0.000   90   0   1   0
   6.346   6.352   6.346   91   9   1   0
   0.000   0.000   0.000   92   0   1   0
   6.358   6.364   6.358   93   9   1   0
   0.000   0.000   0.000   94   0   1   0
   6.369   6.369   6.369   95   9   1   0
   0.000   0.000   0.000   96   0   1   0
   6.375   6.375   6.375   97   9   1   0
   0.000   0.000   0.000   98   0   1   0
