   84.260   65.210   19.050  87    7.271   5.959  23 19   1  1   1  1   
   45.130   39.910    5.220  87    7.271   6.207  23 21   1  1   1  1   
    0.000    0.000   -0.000  87    8.823   5.848  23 19   0  0   1  1   
    0.022    0.001    0.021  87    9.338   6.711  25 21   0  0   1  1   
  183.900  183.300    0.600  88    1.792   0.000   2  0   0  0   1  1   
    0.132    0.246   -0.115  88    3.383   1.792   3  2   0  0   1  1   
    0.292    0.508   -0.215  88    3.479   1.792   1  2   0  0   1  1   
    7.815    5.832    1.983  88    3.479   3.383   1  3   0  0   1  1   
   49.610   40.590    9.020  88    3.525   2.698   5  3   1  1   1  1   
   10.240    6.136    4.104  88    3.884   2.698   4  3   1  1   1  1   
   69.890   79.740   -9.850  88    3.884   3.525   4  5   1  1   1  1   
   93.750  128.400  -34.650  88    4.068   3.525   6  5   1  1   1  1   
   13.570   19.060   -5.490  88    4.068   3.884   6  4   1  1   1  1   
   13.220    8.042    5.178  88    7.701   6.719  11  9   0  0   1  1   
   39.030   30.070    8.960  88    7.701   7.013  11 10   0  0   1  1   
    0.087    0.266   -0.179  88    9.102   6.313  11  9   1  1   1  1   
  116.700  117.900   -1.200  90    2.199   0.000   2  0   0  0   1  1   
   15.160   15.050    0.110  90    2.678   2.275   4  5   1  1   1  1   
   82.700   76.030    6.670  90    2.753   2.275   3  5   1  1   1  1   
    0.092    0.694   -0.602  90    2.753   2.678   3  4   1  1   1  1   
  297.000  297.900   -0.900  90    3.070   2.199   4  2   0  0   1  1 * 
  181.700  182.000   -0.300  90    3.378   3.070   6  4   0  0   1  1   
   81.970   82.280   -0.310  90    3.500   3.378   8  6   0  0   1  1   
    6.299    7.385   -1.086  90    4.061   2.199   3  2   0  0   1  1   
   47.680   50.380   -2.700  90    4.061   3.070   3  4   0  0   1  1   
   33.700   37.370   -3.670  90    4.062   2.275   6  5   1  1   1  1   
    7.385    6.384    1.001  90    4.062   2.678   6  4   1  1   1  1   
   50.750   50.010    0.740  90    4.064   2.275   7  5   1  1   1  1   
  129.400  136.300   -6.900  90    4.064   4.062   7  6   1  1   1  1   
    4.348    4.883   -0.535  90    4.372   3.070   5  4   0  0   1  1   
  120.800  121.100   -0.300  90    4.372   3.378   5  6   0  0   1  1   
   43.280   46.230   -2.950  90    4.372   4.061   5  3   0  0   1  1   
  187.900  189.700   -1.800  91    1.237   0.092   5  1   1  1   1  1   
  190.000  182.100    7.900  91    1.344   0.092   3  1   1  1   1  1   
   20.030   18.400    1.630  91    1.344   1.237   3  5   1  1   1  1   
   98.070  102.700   -4.630  91    1.582   0.000   7  9   0  0   1  1   
   72.800   79.060   -6.260  91    1.807   0.000   5  9   0  0   1  1   
    5.294   10.570   -5.276  91    1.807   1.582   5  7   0  0   1  1   
  157.900  164.100   -6.200  91    1.848   1.237   9  5   1  1   1  1   
   40.890   42.750   -1.860  91    2.032   1.979  17 13   1  1   1  1   
   12.310   12.800   -0.490  91    2.175   1.237   7  5   1  1   1  1   
   81.220   84.630   -3.410  91    2.175   1.344   7  3   1  1   1  1   
    3.079    5.682   -2.603  91    2.175   1.848   7  9   1  1   1  1   
   79.540   83.590   -4.050  91    2.265   0.000  13  9   0  0   1  1   
   69.460   70.960   -1.500  91    2.279   0.000  11  9   0  0   1  1   
  143.600  133.600   10.000  91    2.279   1.582  11  7   0  0   1  1   
  300.500  281.400   19.100  91    2.279   2.265  11 13   0  0   1  1 * 
    0.000    0.014   -0.014  91    2.694   1.979  15 13   1  1   1  1   
   19.230   17.260    1.970  91    2.694   2.032  15 17   1  1   1  1   
   49.910   51.340   -1.430  91    2.694   2.440  15 11   1  1   1  1   
  267.900  275.300   -7.400  91    3.120   2.265  17 13   0  0   1  1 * 
   58.520   53.880    4.640  91    3.203   2.265  15 13   0  0   1  1   
