Energy outputs   (0.073 MeV RMS for JP fit)
       exp      error        BAB         JP     BAB-JP 
 -144.8510     0.1000  -144.9153  -144.8954    -0.0199
 -144.6980     0.1000  -144.7123  -144.7020    -0.0103
 -144.5040     0.1000  -144.4602  -144.4653     0.0051
 -144.4540     0.1000  -144.4850  -144.4761    -0.0089
 -144.1980     0.1000  -144.2400  -144.2191    -0.0209
 -144.0750     0.1000  -144.0116  -144.0029    -0.0087
 -143.8280     0.1000  -143.8100  -143.7375    -0.0725
 -143.3780     0.1000  -143.3926  -143.3891    -0.0035
 -143.0220     0.1000  -143.1031  -143.0761    -0.0270
 -153.9470     0.1000  -153.8937  -153.8731    -0.0206
 -152.4370     0.1000  -152.2839  -152.2928     0.0089
 -151.6640     0.1000  -151.6376  -151.6639     0.0263
 -151.4270     0.1000  -151.3555  -151.4278     0.0723
 -151.4200     0.1000  -151.4064  -151.4227     0.0163
 -151.3350     0.1000  -151.2730  -151.3043     0.0313
 -151.1870     0.1000  -151.2132  -151.2391     0.0259
 -151.0970     0.1000  -151.0831  -151.0767    -0.0064
 -158.0340     0.1000  -158.0092  -158.0458     0.0366
 -157.6420     0.1000  -157.5905  -157.6077     0.0172
 -157.3530     0.1000  -157.2606  -157.2791     0.0185
 -156.6260     0.1000  -156.5088  -156.5531     0.0443
 -156.6000     0.1000  -156.4477  -156.5084     0.0607
 -156.5180     0.1000  -156.4713  -156.5173     0.0460
 -155.8490     0.1000  -155.8634  -155.8981     0.0347
 -155.8490     0.1000  -155.7867  -155.8642     0.0775
 -155.8490     0.1000  -155.8280  -155.8712     0.0432
 -155.4990     0.1000  -155.4779  -155.5265     0.0486
 -154.7530     0.1000  -154.7195  -154.7594     0.0399
 -154.1460     0.1000  -154.0565  -154.0578     0.0013
 -164.3000     0.1000  -164.2210  -164.2620     0.0410
 -162.8690     0.1000  -162.7702  -162.8100     0.0398
 -162.1130     0.1000  -162.0108  -162.0952     0.0844
 -161.8020     0.1000  -161.7619  -161.8084     0.0465
 -161.7970     0.1000  -161.6905  -161.7341     0.0436
 -161.6760     0.1000  -161.6372  -161.6910     0.0538
 -161.6560     0.1000  -161.6152  -161.6907     0.0755
 -161.3050     0.1000  -161.3246  -161.3966     0.0720
 -160.6420     0.1000  -160.5785  -160.6315     0.0530
 -167.3460     0.1000  -167.3180  -167.3838     0.0658
 -166.8030     0.1000  -166.7226  -166.7504     0.0278
 -166.6660     0.1000  -166.6053  -166.6657     0.0604
 -166.1660     0.1000  -166.1598  -166.1994     0.0396
 -165.9950     0.1000  -165.9214  -165.9742     0.0528
 -165.9160     0.1000  -165.8514  -165.8992     0.0478
 -165.2780     0.1000  -165.1837  -165.2519     0.0682
 -165.1100     0.1000  -165.0911  -165.1404     0.0493
 -164.8960     0.1000  -164.8257  -164.8899     0.0642
 -164.1030     0.1000  -164.0624  -164.0557    -0.0067
 -163.6220     0.1000  -163.4901  -163.5202     0.0301
 -163.4370     0.1000  -163.4158  -163.4083    -0.0075
 -172.4780     0.1000  -172.4298  -172.4951     0.0653
 -171.0630     0.1000  -171.0553  -171.0995     0.0442
 -170.3790     0.1000  -170.3167  -170.3745     0.0578
 -170.0540     0.1000  -170.0363  -170.0888     0.0525
 -169.9470     0.1000  -169.9100  -169.9721     0.0621
 -169.8290     0.1000  -169.7944  -169.8401     0.0457
 -169.2940     0.1000  -169.2309  -169.2717     0.0408
 -168.6940     0.1000  -168.6151  -168.6267     0.0116
 -174.4880     0.1000  -174.5155  -174.5682     0.0527
 -173.7720     0.1000  -173.8546  -173.8855     0.0309
 -173.1980     0.1000  -173.2539  -173.2520    -0.0019
 -173.0700     0.1000  -173.0057  -173.0230     0.0173
 -172.8150     0.1000  -172.7970  -172.8002     0.0032
 -172.4680     0.1000  -172.4687  -172.4666    -0.0021
 -172.4350     0.1000  -172.3966  -172.4098     0.0132
 -172.1450     0.1000  -172.1083  -172.1081    -0.0002
 -178.5090     0.1000  -178.5409  -178.5902     0.0493
 -177.1140     0.1000  -177.2517  -177.2462    -0.0055
 -176.4270     0.1000  -176.4201  -176.4253     0.0052
 -176.2290     0.1000  -176.3025  -176.2810    -0.0215
 -176.0810     0.1000  -176.0964  -176.0885    -0.0079
 -175.8820     0.1000  -175.9151  -175.9108    -0.0043
 -179.5910     0.1000  -179.6332  -179.6156    -0.0176
 -178.9200     0.1000  -178.8905  -178.8307    -0.0598
 -177.6200     0.1000  -177.6293  -177.5836    -0.0457
 -177.5200     0.1000  -177.5129  -177.4763    -0.0366
