Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
 -139.1470     0.1000  -139.1756  -139.0783    -0.0973
 -139.0140     0.1000  -139.0699  -139.0085    -0.0614
 -138.5940     0.1000  -138.6545  -138.5812    -0.0733
 -138.5850     0.1000  -138.6382  -138.6065    -0.0317
 -138.2560     0.1000  -138.2771  -138.2478    -0.0293
 -138.0240     0.1000  -137.8925  -138.0131     0.1206
 -137.8850     0.1000  -137.9498  -137.8626    -0.0872
 -137.7440     0.1000  -137.8340  -137.8056    -0.0284
 -136.9580     1.0060  -137.2935  -137.3265     0.0330
 -136.0850     0.1000  -136.2135  -136.2017    -0.0118
 -135.6890     0.1000  -135.9077  -135.7851    -0.1226
 -146.4880     0.1000  -146.5552  -146.4997    -0.0555
 -146.3830     0.1000  -146.4562  -146.3620    -0.0942
 -145.3010     0.1000  -145.3542  -145.2904    -0.0638
 -145.1750     0.1000  -145.2079  -145.1388    -0.0691
 -144.9070     0.1000  -145.0081  -144.9980    -0.0101
 -144.8750     0.1000  -144.8879  -144.9452     0.0573
 -144.8510     0.1000  -144.9409  -144.8873    -0.0536
 -144.6980     0.1000  -144.6920  -144.7199     0.0279
 -144.5040     0.1000  -144.5695  -144.4726    -0.0969
 -144.4540     0.1000  -144.5144  -144.4757    -0.0387
 -144.1980     0.1000  -144.2990  -144.2042    -0.0948
 -144.0750     0.1000  -144.1205  -144.0327    -0.0878
 -143.8280     0.1000  -143.8280  -143.7644    -0.0636
 -143.3780     0.1000  -143.4145  -143.3770    -0.0375
 -143.0220     0.1000  -143.0368  -143.0528     0.0160
 -153.9470     0.1000  -153.9255  -153.8958    -0.0297
 -152.4370     0.1000  -152.3742  -152.3241    -0.0501
 -151.6640     0.1000  -151.6221  -151.6698     0.0477
 -151.4270     0.1000  -151.4315  -151.4445     0.0130
 -151.4200     0.1000  -151.4573  -151.4319    -0.0254
 -151.3350     0.1000  -151.3591  -151.2938    -0.0653
 -151.1870     0.1000  -151.2446  -151.2273    -0.0173
 -151.0970     0.1000  -151.0293  -151.0651     0.0358
 -150.8560     1.2042  -150.9128  -150.8641    -0.0487
 -150.3240     1.2042  -150.3642  -150.3316    -0.0326
 -158.0340     0.1000  -158.0443  -158.0448     0.0005
 -157.6420     0.1000  -157.6290  -157.6170    -0.0120
 -157.3530     0.1000  -157.2949  -157.2976     0.0027
 -156.6260     0.1000  -156.6111  -156.5463    -0.0648
 -156.6000     0.1000  -156.5771  -156.5226    -0.0545
 -156.5180     0.1000  -156.5051  -156.5291     0.0240
 -155.8490     0.1000  -155.8698  -155.8992     0.0294
 -155.8490     0.1000  -155.8004  -155.8550     0.0546
 -155.8490     0.1000  -155.8911  -155.8806    -0.0105
 -155.4990     0.1000  -155.4965  -155.5057     0.0092
 -154.7530     0.1000  -154.7604  -154.7696     0.0092
 -154.1460     0.1000  -154.0724  -154.0569    -0.0155
