Energy outputs: 
       exp      error        BAB         JP       Diff 
    3.3090     0.1500  -138.0263  -138.0264     0.0001
    3.4480     0.1500  -137.9415  -137.9414    -0.0001
    3.5890     0.1500  -137.8025  -137.8025    -0.0000
    4.3750     1.0122  -137.3452  -137.3451    -0.0001
    5.2480     0.1500  -136.1544  -136.1543    -0.0001
    5.6440     0.1500  -135.7199  -135.7199     0.0000
 -146.4880     0.1500  -146.4975  -146.4974    -0.0001
    0.1050     0.1500  -146.4736  -146.4736     0.0000
    1.1870     0.1500  -145.2104  -145.2105     0.0001
    1.3130     0.1500  -145.2020  -145.2020     0.0000
    1.5810     0.1500  -144.8670  -144.8670    -0.0000
    1.6130     0.1500  -144.9672  -144.9671    -0.0001
    1.6370     0.1500  -144.8854  -144.8853    -0.0001
    1.7900     0.1500  -144.7542  -144.7541    -0.0001
    1.9840     0.1500  -144.5578  -144.5576    -0.0002
    2.0340     0.1500  -144.4798  -144.4797    -0.0001
    2.2900     0.1500  -144.2073  -144.2073     0.0000
    2.4130     0.1500  -144.0229  -144.0229    -0.0000
    2.6600     0.1500  -143.8249  -143.8248    -0.0001
    3.1100     0.1500  -143.4289  -143.4288    -0.0001
    3.4660     0.1500  -142.9867  -142.9867    -0.0000
 -153.9470     0.1500  -153.9468  -153.9468    -0.0000
    1.5100     0.1500  -152.3910  -152.3911     0.0001
    2.2830     0.1500  -151.6213  -151.6214     0.0001
    2.5200     0.1500  -151.4203  -151.4201    -0.0002
    2.5270     0.1500  -151.4424  -151.4424     0.0000
    2.6120     0.1500  -151.3016  -151.3017     0.0001
    2.7600     0.1500  -151.1700  -151.1700     0.0000
    2.8500     0.1500  -151.0117  -151.0116    -0.0001
    3.0910     1.2093  -150.7482  -150.7482    -0.0000
    3.6230     1.2093  -150.2715  -150.2716     0.0001
 -158.0340     0.1500  -158.0284  -158.0283    -0.0001
    0.3920     0.1500  -157.6139  -157.6139     0.0000
    0.6810     0.1500  -157.3316  -157.3316     0.0000
    1.4080     0.1500  -156.5328  -156.5328     0.0000
    1.4340     0.1500  -156.5260  -156.5262     0.0002
    1.5160     0.1500  -156.5348  -156.5349     0.0001
    2.1850     0.1500  -155.9470  -155.9471     0.0001
    2.1850     0.1500  -155.7897  -155.7898     0.0001
    2.1850     0.1500  -155.8201  -155.8202     0.0001
    2.5350     0.1500  -155.4501  -155.4501    -0.0000
    3.2810     0.1500  -154.6918  -154.6917    -0.0001
    3.8880     0.1500  -154.0847  -154.0846    -0.0001
 -164.3000     0.1500  -164.2517  -164.2517     0.0000
    1.4310     0.1500  -162.8715  -162.8716     0.0001
    2.1870     0.1500  -162.0582  -162.0582    -0.0000
    2.4980     0.1500  -161.7642  -161.7643     0.0001
    2.5030     0.1500  -161.7476  -161.7476    -0.0000
    2.6240     0.1500  -161.6354  -161.6356     0.0002
    2.6440     0.1500  -161.6319  -161.6320     0.0001
    2.9950     0.1500  -161.2381  -161.2382     0.0001
    3.6580     0.1500  -160.5504  -160.5503    -0.0001
 -167.3460     0.1500  -167.3127  -167.3127    -0.0000
    0.5430     0.1500  -166.7366  -166.7367     0.0001
    0.6800     0.1500  -166.6698  -166.6698     0.0000
    1.1800     0.1500  -166.1157  -166.1158     0.0001
    1.3510     0.1500  -165.9931  -165.9932     0.0001
    1.4300     0.1500  -165.9296  -165.9296     0.0000
    2.0680     0.1500  -165.2160  -165.2161     0.0001
    2.2360     0.1500  -165.0810  -165.0811     0.0001
    2.4500     0.1500  -164.8557  -164.8558     0.0001
    3.2430     0.1500  -164.0391  -164.0390    -0.0001
    3.7240     0.1500  -163.6024  -163.6026     0.0002
    3.9090     0.1500  -163.4335  -163.4337     0.0002
 -172.4780     0.1500  -172.4311  -172.4313     0.0002
    1.4150     0.1500  -171.1003  -171.1004     0.0001
    2.0990     0.1500  -170.3327  -170.3327     0.0000
    2.4240     0.1500  -170.0078  -170.0078     0.0000
    2.5310     0.1500  -169.9180  -169.9180     0.0000
    2.6490     0.1500  -169.8047  -169.8049     0.0002
    3.1840     0.1500  -169.2304  -169.2305     0.0001
    3.7840     0.1500  -168.7386  -168.7388     0.0002
 -174.4880     0.1500  -174.4944  -174.4944     0.0000
    0.7160     0.1500  -173.8174  -173.8173    -0.0001
    1.2900     0.1500  -173.2946  -173.2946    -0.0000
    1.4180     0.1500  -173.0011  -173.0012     0.0001
    1.6730     0.1500  -172.8288  -172.8289     0.0001
    2.0200     0.1500  -172.4438  -172.4439     0.0001
    2.0530     0.1500  -172.3901  -172.3900    -0.0001
    2.3430     0.1500  -172.1541  -172.1541     0.0000
 -178.5090     0.1500  -178.5524  -178.5523    -0.0001
    1.3950     0.1500  -177.2125  -177.2125     0.0000
    2.0820     0.1500  -176.4243  -176.4242    -0.0001
    2.2800     0.1500  -176.2202  -176.2202     0.0000
    2.4280     0.1500  -176.0793  -176.0792    -0.0001
    2.6270     0.1500  -175.9755  -175.9756     0.0001
 -179.5910     0.1500  -179.5867  -179.5866    -0.0001
 -178.5910     1.2093  -179.0705  -179.0705     0.0000
    1.3000    -0.0500  -177.7721  -177.7722     0.0001
    2.4000    -0.0500  -176.6708  -176.6708    -0.0000
 -182.5990     0.2830  -182.5776  -182.5774    -0.0002
Parameter outputs: 
       BAB         JP       Diff 
  -14.7957   -14.7955     0.0002
  -14.1417   -14.1416     0.0001
  -13.2839   -13.2838     0.0001
  -10.1659   -10.1664    -0.0005
   -2.5425    -2.5427    -0.0002
   -0.7921    -0.7917     0.0004
   -0.3602    -0.3609    -0.0007
   -1.0704    -1.0701     0.0003
    0.3579     0.3567    -0.0012
   -2.1092    -2.1082     0.0010
    1.3263     1.3260    -0.0003
    1.1188     1.1182    -0.0006
    1.0525     1.0521    -0.0004
   -2.4888    -2.4889    -0.0001
    0.4514     0.4519     0.0005
    0.0990     0.1004     0.0014
    0.6467     0.6469     0.0002
   -0.2449    -0.2448     0.0001
    0.2503     0.2503     0.0000
   -0.0118    -0.0114     0.0004
   -0.7547    -0.7544     0.0003
   -0.6703    -0.6703     0.0000
   -2.7301    -2.7273     0.0028
    0.5962     0.5959    -0.0003
    0.2166     0.2167     0.0001
    0.9518     0.9521     0.0003
    0.8588     0.8593     0.0005
    2.6327     2.6361     0.0034
    0.0504     0.0498    -0.0006
   -0.3254    -0.3255    -0.0001
   -0.5493    -0.5492     0.0001
    1.3139     1.3128    -0.0011
    2.6778     2.6770    -0.0008
    0.3374     0.3374    -0.0000
    0.6131     0.6134     0.0003
    0.9415     0.9417     0.0002
    0.0935     0.0938     0.0003
    1.1591     1.1595     0.0004
   -0.8779    -0.8781    -0.0002
    1.0724     1.0724    -0.0000
   -0.8331    -0.8332    -0.0001
    1.0659     1.0658    -0.0001
   -0.3619    -0.3646    -0.0027
    0.6175     0.6164    -0.0011
   -0.2846    -0.2844     0.0002
    0.2608     0.2606    -0.0002
    0.7087     0.7090     0.0003
   -4.9661    -4.9680    -0.0019
    0.4977     0.4973    -0.0004
   -2.9681    -2.9667     0.0014
    0.4614     0.4643     0.0029
   -0.3886    -0.3892    -0.0006
    0.0577     0.0580     0.0003
    0.8396     0.8395    -0.0001
   -0.1414    -0.1411     0.0003
    0.5163     0.5164     0.0001
    0.2402     0.2397    -0.0005
    0.6630     0.6627    -0.0003
    0.6544     0.6543    -0.0001
   -0.6266    -0.6263     0.0003
    0.0916     0.0916    -0.0000
    0.2943     0.2945     0.0002
    0.2317     0.2318     0.0001
    1.2518     1.2540     0.0022
    0.9849     0.9858     0.0009
    0.6119     0.6122     0.0003
    0.3755     0.3755    -0.0000
   -0.4291    -0.4303    -0.0012
    0.5165     0.5165    -0.0000
